insee	libelle1	libelle2	voie_num	voie_type	voie_nom	local	voie	CPBIBLIO	CEDEXB	BP	ville	DEPT	REGION	population_legale	
1004	MEDIATHEQUE MUNICIPALE	LA GRENETTE	10	rue	Amédée Bonnet		10 rue Amédée Bonnet	1500			Ambérieu-en-Bugey	1	82	13272	
1005	BIBLIOTHEQUE MUNICIPALE D'AMBERIEUX EN DOMBES		2	route	du Gouverneur		2 route du Gouverneur	1330			Ambérieux-en-Dombes	1	82	1588	
1007	BIBLIOTHEQUE MUNCIPALE			RUE	DES RUETTES		RUE DES RUETTES	1500			Ambronay	1	82	2405	
1008	BIBLIOTHEQUE D'AMBUTRIX		9	ROUTE	DE TERNANT		9 ROUTE DE TERNANT	1500			Ambutrix	1	82	670	
1010	BIBLIOTHEQUE MUNICIPALE					RUE DES ECOLES		1350			Anglefort	1	82	934	
1014	Bibliotèque d'Arbent	Centre social et culturel d'Arbent	1400	Avenue	Général Andrea		1400 Avenue Général Andrea	1100			Arbent	1	82	3574	
1017	BIBLIOTHEQUE MUNICIPALE			RUE	DE L'USINE		RUE DE L'USINE	1230			Argis	1	82	425	
1021	Bibliothèque municipale					Rue Jean-Marie Vianney		1480			Ars-sur-Formans	1	82	1303	
1022	Bibliothèque municipale d'Artemare		19	rue	de la Croix Rousse		19 rue de la Croix Rousse	1510			Artemare	1	82	1124	
1024	BIBLIIOTHEQUE MUNICIPALE D'ATTIGNAT		317	RUE	DE L'EGLISE		317 RUE DE L'EGLISE	1340			Attignat	1	82	2720	
1025	BIBLIOTHEQUE MUNICIPALE	PLACE DE LA MAIRIE						1380			Bâgé-la-Ville	1	82	2952	
1026	BIBLIOTHEQUE MUNICIPALE		20	RUE	CONDAMNALE		20 RUE CONDAMNALE	1380			Bâgé-le-Châtel	1	82	870	
1027	Bibliothèque Municipale		1		Place de la Mairie		1   Place de la Mairie	1360			Balan	1	82	2453	
1029	Bibliothèque Beaupont Domsure					Le bourg		1270			Beaupont	1	82	570	
1030	Bibliothèque municipale		224	Rue	Hector Berlioz		224 Rue Hector Berlioz	1480			Beauregard	1	82	900	
1032	BIBLIOTHEQUE COMMUNALE		2343	ROUTE	DAUPHINE		2343 ROUTE DAUPHINE	1360			Béligneux	1	82	2941	
1033	MEDIATHEQUE LOIUS MIRAILLET		61	RUE	PLACE CHARLES DE GAULLE	PASSERELLE DES ARTS	PLACE CHARLES DE GAULLE	1202			Bellegarde-sur-Valserine	1	82	11753	
1034	BIBLIOTHEQUE MUNICIPALE			RUE	DES CORDELIERS	PALAIS EPISCOPAL	RUE DES CORDELIERS	1300			Belley	1	82	9181	
1036	Les amis de la ibliothèque de Belmont- Luthézieu					Mairie		1260			Belmont-Luthézieu	1	82	504	
1038	Bibliothèque municipale					Mairie. Le bourg		1370			Bény	1	82	760	
1040	BIBLIOTHEQUE DE BEREZIAT					LE BOURG		1340			Béréziat	1	82	397	
1043	BIBLIOTHEQUE DE BEYNOST		355	CHEMIN	DU MONDEROUX	VILLA MONDEROUX	355 CHEMIN DU MONDEROUX	1700			Beynost	1	82	4403	
1046	BIBLIOTHEQUE AVENIR DE BIZIAT					LE BOURG		1290			Biziat	1	82	784	
1047	BIBLIOTHEQUE MUNICIPALE					LE PRIEURE		1150			Blyes	1	82	925	
1049	BIBLIOTHEQUE COMMUNALE		358	RUE	JOSEPH GUINET		358 RUE JOSEPH GUINET	1120			La Boisse	1	82	2936	
1053	MEDIATHEQUE E. & R. VAILLAND		1	RUE DU MOULIN	DE BROU		1 RUE DU MOULIN DE BROU	1000			Bourg-en-Bresse	1	82	42346	
1054	BIBLIOTHEQUE MUNICIPALE					Place de la Mairie		1800			Bourg-Saint-Christophe	1	82	1111	
1057	BIBLIOTHEQUE MUNICIPALE					MAIRIE		1190			Boz	1	82	489	
1058	MEDIATHEQUE MUNICIPALE DE BREGNIER-CORDON	J'AIME LIRE		PLACE	DES SPORTS	Cité Intercommunale de l'Enfant	PLACE DES SPORTS	1300			Brégnier-Cordon	1	82	771	
1060	ESPACE LIVRES BRENOD					MAIRIE DE BRENOD		1110			Brénod	1	82	546	
1061	BIBLIOTHEQUE		454	RUE	DU CENTRE	MAIRIE	454 RUE DU CENTRE	1300			Brens	1	82	1022	
1063	Bibliohèque municipale			rue	du château	Mairie	rue du château	1460			Brion	1	82	526	
1065	BIBLIOTHEQUE MUNICIPALE DE BUELLAS					MAIRIE		1310			Buellas	1	82	1685	
1068	BIBLIOTHEQUE MUNICIPALE				PLACE DE LA MAIRIE		PLACE DE LA MAIRIE	1450			Cerdon	1	82	780	
1069	BIBLIOTHEQUE MUNICIPALE					CENTRE FESTIF		1240			Certines	1	82	1482	
1071	Bibliothèque Municipale de Cessy		450	Rue	de la mairie		450 Rue de la mairie	1170			Cessy	1	82	3776	
1072	BIBLIOTHEQUE MUNICIPALE			PLACE	JEAN MOULIN	HOTEL DE VILLE	PLACE JEAN MOULIN	1250			Ceyzériat	1	82	2694	
1074	BIBLIOTHEQUE MUNICIPALE			RUE DES FOSSES			RUE DES FOSSES	1320			Chalamont	1	82	2263	
1078	Bibliotheque Municipale		463	Rue de la Treille			463 Rue de la Treille	1630			Challex	1	82	1149	
1079	BIBLIOTHEQUE DU VALROMEY		3	PLACE	BRILLIAT-SAVARIN	MAISON DE PAYS	3 PLACE BRILLIAT-SAVARIN	1260		BP 3	Champagne-en-Valromey	1	82	4938	
1081	"Bibliothèque ""Le Champ du Livre"""		564	rue	des Burgondes		564 rue des Burgondes	1410	NC		Champfromier	1	82	678	
1082	ABC Chanay				Allée Izernore		Allée Izernore	1420			Chanay	1	82	638	
1083	BIBLIOTHEQUE DE CHANEINS/VALEINS							1990			Chaneins	1	82	856	
1084	BIBLIOTHEQUE MUNICIPALE					Mairie		1400			Chanoz-Châtenay	1	82	680	
1088	BIBLIOTHEQUE MUNICIPALE DE CHARNOZ SUR AIN					CHATEAU MESSIMY		1800			Charnoz-sur-Ain	1	82	925	
1089	BIBLIOTHEQUE MUNICIPALE					MAIRIE		1500			Château-Gaillard	1	82	1770	
1091	Bibliothèque municipale Le coin lecture		654	Rue	Aimé Bonneville		654 Rue Aimé Bonneville	1200			Châtillon-en-Michaille	1	82	3194	
1092	BIBLIOTHEQUE MUNICIPALE		248	ROUTE	DE GEVRIEUX		248 ROUTE DE GEVRIEUX	1320			Châtillon-la-Palud	1	82	1559	
1093	MEDIATHEQUE FRANCOIS EDOUARD	FRANCOIS EDOUARD	36	RUE	ALPHONSE BAUDIN	Centre Culturel	36 RUE ALPHONSE BAUDIN	1400			Châtillon-sur-Chalaronne	1	82	5133	
