adresse;code postal;ville;pays;description
12 bd Gallieni;93600;Aulnay-Sous-Bois;France;Réseau des Bibliotheques 
18 RUE ADELAIDE LAHAYE;93170;Bagnolet;France;MEDIATHEQUE MUNICIPALE 
1-5 Place de la Libération;93150;Le Blanc-Mesnil;France;Médiathèque Edouard Glissant 
4 RUE DE L'UNION;93000;Bobigny;France;BIBLIOTHEQUE ELSA TRIOLET 
23 RUE ROGER SALENGRO;93140;Bondy;France;BIBLIOTHEQUE MUNICIPALE DENIS DIDEROT
58 ALLEE AUGUSTE GENEVIEVE;93390;Clichy-sous-Bois;France;BIBLIOTHEQUE MUNICIPALE CYRANO DE BERGERAC
137 RUE JEAN JAURES;93470;COUBRON;France;BIBLIOTHEQUE MUNICIPALE 
65 AVENUE MARCEAU;93700;Drancy;France;MEDIATHEQUE GEORGES BRASSENS 
AVENUE AMBROISE CROIZAT;93440;Dugny;France;BIBLIOTHEQUE MUNICIPALE ANNE FRANK
20 AVENUE JEAN JAURES;93220;Gagny;France;BIBLIOTHEQUE-DISCOTHEQUE MUNICIPALE GEORGES PEREC
35 PLACE CHARLES DE GAULLE;93260;Les Lilas;France;BIBLIOTHEQUE MUNICIPALE ANDRE MALRAUX
8 AVENUE DU CONSUL GENERAL NORDLING;93891;Livry-Gargan;France;BIBLIOTHEQUE MUNICIPALE RENE CASSIN
1 BOULEVARD HARDY;93370;Montfermeil;France;MEDIATHEQUE DU PETIT PRINCE DOMAINE FORMIGE
14 BOULEVARD ROUGET DE LISLE;93100;Montreuil;France;BIBLIOTHEQUE ROBERT DESNOS 0
11 RUE DU GENERAL DE GAULLE;93360;Neuilly-Plaisance;France;BIBLIOTHEQUE MUNICIPALE GUY DE MAUPASSANT
212 AVENUE DU 8 MAI 1945;93330;Neuilly-sur-Marne;France;BIBLIOTHEQUE MUNICIPALE ANTOINE DE SAINT-EXUPERY
36 rue de la République;93160;Noisy-Le-Grand;France;Médiathèque 
3 RUE JEAN JAURES;93134;Noisy-le-Sec;France;MEDIATHEQUE MUNICIPALE ROGER GOUHIER
102 AVENUE JEAN LOLIVE;93500;Pantin;France;BIBLIOTHEQUE ELSA TRIOLET 
ALLEE JULES AUFFRET;93320;Les Pavillons-sous-Bois;France;BIBLIOTHEQUE MUNICIPALE 
46 AVENUE JEAN JAURES;93315;Le Pré-Saint-Gervais;France;BIBLIOTHEQUE FRANCOIS MITTERRAND 
12 AVENUE DE LA RESISTANCE;93340;Le Raincy;France;MEDIATHEQUE MUNICIPALE 
RUE ALBERT GIRY;93230;Romainville;France;MEDIATHEQUE MUNICIPALE ROMAIN ROLLAND
20 MAIL JEAN PIERRE TIMBAUD;93110;Rosny Sous Bois;France;BIBLIOTHEQUE MUNICIPALE LOUIS ARAGON 
21 RUE Jules Rimet;93218;Saint-Denis cedex;France;Reseau de lecture publique de Plaine Commune COMMUNAUTE D'AGGLOMERATION PLAINE COMMUNE
4 AVENUE GABRIEL PERI;93400;Saint Ouen;France;SERVICE DE LA LECTURE PUBLIQUE MEDIATHEQUE PERSEPOLIS
6 rue de la Gare;93270;Sevran;France;Bibliothèque Centrale Albert Camus 
24 BOULEVARD DE L'HOTEL DE VILLE;93290;Tremblay-en-France;France;MEDIATHEQUE MUNICIPALE BORIS VIAN
78 RUE DE MEAUX;93410;Vaujours;France;BIBLIOTHEQUE MUNICIPALE 
118-120   GRANDE RUE;93250;Villemomble;France;MEDIATHEQUE MUNICIPALE ROBERT CALMEJANE
251 boulevard Robert BALLANGER;93420;Villepinte;France;CENTRE CULTUREL JOSEPH KESSEL MEDIATHEQUE
