Acronyme	Nom	Directeur	Rattachement	Adresse	Tel	Fax	Présentation	Axes de recherche	Mail	Coordonnées GPS	Site Web	Réseaux sociaux	divers	lien	geoTable
PARAGRAPHE	PARAGRAPHE	M. Imad SALEH	PARIS 8	Dept Hypermedias 2 rue de la Liberte - 93526  SAINT-DENIS	01 49 40 67 58	01 49 40 67 83	Equipe interdisciplinaire : Science de l'information, psychologie et informatique.	Notions techniques comme les moteurs de recherches, les hypertextes, les outils informatiques et les activités humaines qu’ils sollicitent ou relevant des Sciences de l'Homme et de la Société (ergonomie, science cognitive, sociologie, philosophie)	imad.saleh@univ-paris8.fr	48.945575,2.363881	http://paragraphe.info/	10	en savoir plus	http://localhost/site-biblio/index.php/lien2	[48.945575,2.363881],['PARAGRAPHE'],
GRESEC	GROUPE DE RECHERCHE SUR LES ENJEUX DE LA COMMUNICATION	Mme Isabelle PAILLIART	GRENOBLE 3	Université Stendhal, Institut de la communication et des médias, 11 avenue du 8 mai 1945 - 38434 ECHIROLLES	04 56 52 87 13	04 56 52 87 10		"Industrialisation de la culture, de l'information et de la communication (ICIC),
publicisation et médiatisation des champs sociaux,
ancrage social des techniques en information-communication,
connaissances, information et documents."	gresec@u-grenoble3.fr	45.149177,5.717994	http://gresec.u-grenoble3.fr	30	en savoir plus		[45.149177,5.717994],['GRESEC'],
LERASS	LABORATOIRE D'ETUDES ET DE RECHERCHES APPLIQUEES EN SCIENCES SOCIALES	Mme Viviane COUZINET	TOULOUSE 3	115 B route de Narbonne BP 67701 - 31400 TOULOUSE CEDEX 4	05 62 25 82 95			"Médiations et représentations sociales

Communication ""risques environnement /santé"""	contact@lerass.com	43.566011,1.459225	http://www.lerass.com	50	en savoir plus	../index.php/lien2	[43.566011,1.459225],['LERASS'],
CRTF	CENTRE DE RECHERCHE TEXTE ET FRANCOPHONIES	Mme Violaine HOUDART-MEROT	CERGY-PONTOISE	1-3 Avenue du Maréchal de Lattre de Tassigny - 95300 PONTOISE	01 34 25 64 19			Recherche fédérées autour de la notion de  francophonies, déclinée dans divers domaines : littéraire surtout, mais aussi anthropologique, didactique et linguistique.	violaine.houdart-merot@u-cergy.fr	49.003012,2.123576	http://www.u-cergy.fr/fr/laboratoires/labo-crtf.html	70			[49.003012,2.123576],['CRTF'],
CIM	CENTRE INFORMATION MEDIAS	M. François JOST	PARIS 3	Université Sorbonne Nouvelle - 1-3, rue Censier 3e étage - 75005 PARIS	01 45 87 79 50	01 45 87 79 49		Histoire, éducation aux médias, identités, médias et vecteurs traditionnels' et nouveaux', actualité, représentations et réception, communication esthétique et langages de communication figurent parmi les mots-clefs qui balisent l'ensemble des activités des divers centres et sont au cœur des journées d'étude transversales qu'organise le CIM.	francois.jost@univ-paris3.fr	48.841927,2.356002	http://www.univ-paris3.fr/ea-1484-communication-information-medias-cim--3444.kjsp?STNAV=&RUBNAV=	90			[48.841927,2.356002],['CIM'],
GRIPIC	GROUPE DE RECHERCHE INTERDISCIPLINAIRE SUR LES PROCESSUS D'INFORMATION ET DE COMMUNICATION	M. Emmanuël SOUCHIER	PARIS 4	77, rue de Villiers - 92200 NEUILLY-SUR-SEINE	01 46 43 76 76			"Rôles que jouent les processus d'information et de 
communication dans la vie sociale, dans le monde marchand et culturel, 
dans les médias et l'espace politique"	emmanuel.souchier@celsa.paris-sorbonne.fr	48.894899,2.274853	http://www.celsa.fr/recherche-gripic.php				[48.894899,2.274853],['GRIPIC'],
CEREGE	CENTRE DE RECHERCHE EN GESTION	M. Amaury GRIMAND	POITIERS	20, rue Guillaume VII le Troubadour - 86022 POITIERS	549454489			"Les thématiques de recherche développées comprennent : 
le management des cultures de consommation, le management public, le 
management international, la gestion des âges et des temps, 
l’intelligence économique..."	secretariat.cerege@iae.univ-poitiers.fr	46.58817,0.344564	http://www.univ-poitiers.fr/recherche/laboratoires/centre-de-recherche-en-gestion-cerege-ea-1722-12378.kjsp?RH=1328179805685				[46.58817,0.344564],['CEREGE'],
TACTIC	Traitement et Appropriation des Connaissances par les TIC	Mme Louise MERZEAU	PARIS 10	12, Place du Panthéon - 75005 PARIS	01 44 07 80 00			"Les thématiques portent sur les industries de la connaissance, la 
traçabilité et l'identité numérique, la normalisation internationale, la
 sécurité de l'information et la communication de crise, la culture 
informationnelle."		48.904731,2.210094	http://dep-infocom.u-paris10.fr/departement-des-sciences-de-l-information-et-de-la-communication/recherche/traitement-et-appropriation-des-connaissances-par-les-tic-342861.kjsp?RH=03%23Recherche				[48.904731,2.210094],['TACTIC'],
LABSIC	LABORATOIRE DES SCIENCES DE L'INFORMATION ET DE LA COMMUNICATION	M. Bertrand LEGENDRE	PARIS 13	Maison des Sciences de l'Homme, 4, rue de la Croix Faron - 93210 SAINT-DENIS	33 (0)1 49 40 40 66	33 (0)1 49 40 38 20		"-Industrie culturelle, éducatives et créatives
-Espaces publics 
-Innovation en communication"	labsic@sic.univ-paris13.fr	48.912036,2.361757	http://labsic.univ-paris13.fr/				[48.912036,2.361757],['LABSIC'],
COSTECH	CONNAISSANCE. ORGANISATION ET SYSTEMES TECHNIQUES	Mme Laurence MONNOYER-SMITH	UT COMPIEGNE	Centre Pierre Guillaumat, Rue du Docteur Schweitzer - 60203 COMPIEGNE	03.44.23.43.68	03.44.23.52.12		"1. Anthropologie et sémiotique des supports numériques
2. Recherche cognitive et design de l'énaction
3. Modélisation et management de l'innovation ascendante en économie de contribution"	laurence.monnoyer-smith@utc.fr	49.400892,2.799661	http://www.utc.fr/costech/?page_id=6				[49.400892,2.799661],['COSTECH'],
